Size,Threads,MedianSeq(F),MeanSeq(F),StdevSeq(F),MedianSeq(J),MeanSeq(J),StdevSeq(J),Speedup(F),Speedup(J),Efficiency(F),Efficiency(J)
400,1,0.2065,0.2065,0.13789,0.1999,0.1999,0.1334,1.0,1.0,1.0,1.0
400,4,0.0875,0.0875,0.02192,0.08235,0.08235,0.02146,2.36,2.42744,0.59,0.60686
400,8,0.088,0.088,0.01273,0.08268,0.08268,0.01382,2.34659,2.41776,0.29332,0.30222
400,12,1.017,1.017,1.31522,1.01126,1.01126,1.31668,0.20305,0.19767,0.01692,0.01647
1600,1,12.741,12.741,2.54417,12.68162,12.68162,2.52477,1.0,1.0,1.0,1.0
1600,4,6.291,6.291,2.26133,6.2433,6.2433,2.25137,2.02527,2.03124,0.50632,0.50781
1600,8,6.764,6.764,1.41987,6.70345,6.70345,1.39132,1.88365,1.8918,0.23546,0.23647
1600,12,6.7395,6.7395,2.41618,6.66589,6.66589,2.40009,1.8905,1.90246,0.15754,0.15854
3200,1,177.054,177.054,5.75019,176.83891,176.83891,5.65671,1.0,1.0,1.0,1.0
3200,4,118.632,118.632,7.67211,118.46229,118.46229,7.64269,1.49246,1.49279,0.37311,0.3732
3200,8,129.474,129.474,6.4078,129.23349,129.23349,6.36099,1.36749,1.36837,0.17094,0.17105
3200,12,156.255,156.255,14.2581,156.00138,156.00138,14.2014,1.13311,1.13357,0.09443,0.09446
