Size,Threads,Median Seq,Mean Seq,Stdev Seq,Median Par,Mean Par,Stdev Par,Speedup,Efficiency
100,2,0.002,0.002,0.0,0.002,0.002,0.0,1.0,0.5
100,4,0.002,0.002,0.0,0.002,0.002,0.0,1.0,0.25
100,8,0.002,0.002,0.0,0.002,0.002,0.0,1.0,0.125
100,10,0.002,0.002,0.0,0.0025,0.0025,0.00071,0.8,0.08
500,2,0.014,0.014,0.00141,0.008,0.008,0.0,1.75,0.875
500,4,0.014,0.014,0.00141,0.0085,0.0085,0.00071,1.64706,0.41176
500,8,0.014,0.014,0.00141,0.0105,0.0105,0.00071,1.33333,0.16667
500,10,0.014,0.014,0.00141,0.01,0.01,0.0,1.4,0.14
1000,2,0.0525,0.0525,0.00212,0.0215,0.0215,0.00354,2.44186,1.22093
1000,4,0.0525,0.0525,0.00212,0.023,0.023,0.00283,2.28261,0.57065
1000,8,0.0525,0.0525,0.00212,0.0245,0.0245,0.00071,2.14286,0.26786
1000,10,0.0525,0.0525,0.00212,0.0255,0.0255,0.00071,2.05882,0.20588
2000,2,0.2625,0.2625,0.01768,0.0845,0.0845,0.02475,3.10651,1.55326
2000,4,0.2625,0.2625,0.01768,0.0815,0.0815,0.01909,3.22086,0.80522
2000,8,0.2625,0.2625,0.01768,0.0805,0.0805,0.01485,3.26087,0.40761
2000,10,0.2625,0.2625,0.01768,0.08,0.08,0.01556,3.28125,0.32812
3000,2,0.6795,0.6795,0.0601,0.1805,0.1805,0.02899,3.76454,1.88227
3000,4,0.6795,0.6795,0.0601,0.1565,0.1565,0.01626,4.34185,1.08546
3000,8,0.6795,0.6795,0.0601,0.1595,0.1595,0.01768,4.26019,0.53252
3000,10,0.6795,0.6795,0.0601,0.163,0.163,0.01556,4.16871,0.41687
10000,2,8.0025,8.0025,0.69084,1.821,1.821,0.0495,4.39456,2.19728
10000,4,8.0025,8.0025,0.69084,1.718,1.718,0.10465,4.65803,1.16451
10000,8,8.0025,8.0025,0.69084,1.7755,1.7755,0.03748,4.50718,0.5634
10000,10,8.0025,8.0025,0.69084,1.797,1.797,0.00707,4.45326,0.44533
20000,2,35.5005,35.5005,0.66256,6.853,6.853,0.00424,5.18029,2.59015
20000,4,35.5005,35.5005,0.66256,6.852,6.852,0.02263,5.18104,1.29526
20000,8,35.5005,35.5005,0.66256,6.817,6.817,0.0594,5.20764,0.65095
20000,10,35.5005,35.5005,0.66256,7.001,7.001,0.08344,5.07078,0.50708
